Name,Title,Pronouns,Job,Affiliation,ShortBio,Website,Twitter,Github
Anqi Qiu,Dr,She,Associate Professor,National University of Singapore,"Dr. Qiu is Depute Head for Research & Enterprises, Associate Professor of Department of Biomedical Engineering at the National University of Singapore. Dr. Qiu received her BS in Biomedical Engineering from Tsinghua University in 1999, MS degrees in Biomedical Engineering and Applied Mathematics and Statistics from University of Connecticut in 2002 and from the Johns Hopkins University in 2005, respectively. She obtained her PhD degree at the Johns Hopkins University in 2006. After one-year postgraduate training, she joined the National University of Singapore as assistant professor and launched her own Laboratory for Medical Image Data Sciences at both the Faculty of Engineering and the School of Medicine. Dr. Qiu has been devoted to innovation in computational analyses of complex and informative datasets comprising of disease phenotypes, neuroimage, and genetic data to understand the origins of individual differences in health throughout the lifespan. She received Faculty Young Research Award, 2016 Young Researcher Award of NUS. She has recently been appointed as endowed “Dean’s Chair” associate professor to honour her outstanding research achievements. She serves on the council and program committee of Organization of Human Brain Mapping and editors of Neuroimage and Frontiers in Neuroscience.",https://bieqa.github.io,anqi_qiu,bieqa
David Keator,Dr,He/him,Research Professor,"University of California, Irvine","Dr. Keator has an extensive background in data science, applied machine learning, statistics, and informatics methods for structured data exchange and reproducibility in neuroimaging. Dr. Keator is a co-developer of the Neuroimaging Data Model (NIDM) and is the PI of the NIMH-funded grant (1RF1MH120021-01): ""The Neuroimaging Data Model: FAIR descriptors of Brain Initiative Imaging Experiments"".",http://www.davidkeator.com,@BrainJunky,dbkeator
Fabio Ferreira,,He/him,PhD Student,"University College London, London, UK","Fabio Ferreira graduated in Biomedical Engineering at University of Coimbra, Portugal. He is currently interested in implementing and applying Bayesian models to multiple sources of data to identify biomarkers of mental health disorders and find reliable subgroups of patients.",https://www.researchgate.net/profile/Fabio_Ferreira33,@FSFerreir,ferreirafabio80
Agah Karakuzu,,he/him,PhD Candidate,"NeuroPoly Lab, Polytechnique Montreal, Montreal, Canada","Agah is a PhD student at NeuroPoly Lab under the supervision of Dr. Nikola Stikov. His research focuses on bringing quantitative MRI (qMRI) applications under one umbrella through data standardization, vendor-neutral acquisitions, fully transparent & reproducible workflows and community building. He plays an active role in organizing of Open Science events (MRathon, Brain Hack School) and as a science communication contributor on various platforms (MRM Highlights, MR Pulse and OHBM Blog).",https://agahkarakuzu.github.io,agahkarakuzu,agahkarakuzu
Mats van Es,Mr,He/him,Postdoc,"Donders Institute for Brain, Cognition and Behaviour","Mats van Es has a background in cognitive neuroscience and biophysics. He studies how oscillatory synchrony affects neural processing and behavior, using MEG to study the healthy human population. Mats is a FieldTrip expert with a focus on time-frequency analysis, source modelling, and connectivity analysis.",https://www.linkedin.com/in/matsvanes/,mats_van_es,matsvanes
Eric Verner,Mr,He/him,Associate Director of Innovation,"Center for Translational Research in Neuroimaging and Data Science, Atlanta, GA","Eric Verner is an electrical engineer by training and has worked in neuroimaging for 5 years. Eric works with researchers, software engineers, and end users to create neuroinformatics tools that benefit the scientific community and solutions that will improve treatment of mental health disorders.",https://trendscenter.org,@everner,everner
Dorien Huijser,Ms,She/her,Lab and data manager,"Developmental Neuroscience in Society, Erasmus School of Social and Behavioral Sciences, Erasmus University Rotterdam, the Netherlands","Dorien is lab and data manager for the Society, Youth and Neuroscience Connected (SYNC) lab at Erasmus University Rotterdam. As lab manager, she works closely with all lab members to assist them with all kinds of issues and is involved in coordination of lab-wide projects and events. As data manager, she takes care of data management (e.g., data structure, privacy issues, long-term access) and fosters open science initiatives in the lab, university-wide and sometimes even outside of the university walls.",https://erasmus-synclab.nl/,@DorienHuijser,DorienHuijser
Loïc Tetrel,Mr,,Research professional,"CRIUGM, Montreal, Canada","Loïc Tetrel graduated with a M. Eng. in Electrical Engineering from France/Canada, and has been working on various imaging modalities for the medical field (ultrasound, optics). Loïc is now focusing on fMRI with an emphasis on pre-processing, hardware computing and open science tools for neuroscience.",https://www.neurolibre.com/,,ltetrel
Martin Grignard,Mr,He/him,PhD. student,"GIGA CRC In vivo imaging, University of Liège, Liège, Belgium","After graduating as an industrial engineer, Martin Grignard started his thesis in the field of neuroimaging. Since then, Martin's work is mainly focused on electromagnetic modelling using EEG, MEG, and tDCS. He is also a big FOSS and Python enthusiast.",,,MartinGrignard
Xu Chen,Dr,She/her,Researcher,"Leiden University Medical Center & Leiden University, Leiden, Netherlands",Dr Xu Chen is a post doctoral researcher working with Prof Jelle Goeman at Leiden University Medical Center and Dr Wouter Weeda at Leiden University. Her current research interest lies in developing statistical methods to address the problem of multiple comparisons in fMRI data analysis.,,,xuchen312
Adina Wagner,Ms,she/her,Doctoral Researcher,"Institute of Neuroscience and Medicine: Brain and Behavior (INM-7), Juelich Research Centre, Germany","After graduating with a M.Sc in Psychology in 2019, Adina Wagner is now a doctoral researcher at the Juelich Research Centre, INM-7, in the Psychoinformatics Lab (https://www.psychoinformatics.de/). Adina's research focus lies on open source software development to foster open and reproducible scientific practices and analyses in neuroscience. Apart from coffee, Adina run on cuss words, scotch, and xkcd comics (https://xkcd.com/1349/).",https://www.adina-wagner.com/,AdinaKrik,adswa
Julie Boyle,Ms,She,"Project Manager, Courtois Neuromod Project",Centre de recherche IUGM,"Julie Boyle is the project manager for the Courtois NeuroMod project. She has over 15 years of experience in managing neuroimaging projects, in both academia and industry, and has collaborated with labs around the world. She joined the Courtois Neuromod project to to explore her interest in using fMRI data to help train artificial neural networks.",https://www.cneuromod.ca/,juliebo80922597,julieaboyle1
Johnes Obungoloch,Dr,He,Lecturer,Mbarara University of Science and Technology,Dr. Obungoloch is a lecturer in the department of Biomedical Engineering and also the Deputy Dean of the Faculty of Applied Sciences and Technology. His research interest is the the area of appropriate medical technologies for the developing world and is currently involved in a project to develop a low field MRI system for imaging of hydrocephalus.,http://fast.must.ac.ug/fast-staff/dr-johnes-obungoloch/,,Johnes1221
Paola Di Maio,Dr,She/her,Researcher,Center for AI Learning,"After working as Science and Technology correspondent and as a freelance lecturer in the UK, Dr Paola Di Mayo completed postgraduate studies in information systems and knowledge engineering. She holds an MSc in IT (Canterbury, UK) and a PhD in Knowledge Systems (Strathclyde, Glasgow). By combining complexity science and knowledge engineering, Dr Di Mayo develops methods for multidisciplinary knowledge unification. A lecturer and researcher, she is the founder and Chair of the W3C AI KR CG and a free spirit.",http://istcs.org,,starborn
Ana Luísa Pinho,Dr,She/her,Postdoctoral Researcher,"Inria Saclay Île-De-France, NeuroSpin CEA-Saclay, Paris-Saclay, France","Ana Luísa Pinho graduated in Engineering Physics at Instituto Superior Técnico (University of Lisbon, Lisbon, Portugal) and obtained her Ph.D. degree in Biomedical Sciences at the Faculty of Medicine of the University of Coimbra (Coimbra, Portugal). During her doctoral studies at Karolinska Institutet (Stockholm, Sweden), she used fMRI to investigate the neural correlates involved in musical creativity. She is now working as a Postdoc, at the Parietal Team, in the elaboration of the IBC dataset and development of new functional-atlasing frameworks dedicated to map cognition in the human brain.",https://team.inria.fr/parietal/ana-luisa-pinho/,ALuisaPinho,alpinho
Gaston Zanitti,Mr,He/him,PhD. Student,"Institut national de recherche en sciences et technologies du numérique, Ile-de-France, France",Gaston Zanitti has a Master in Computer Science and is currently a PhD student at the Parietal Team (INRIA).,,gzanitti,gzanitti
Robert Cox,,He/Him,Core Director,"NIMH, Bethesda Maryland, USA","Long ago, Robert fell in love, moved to be with his new wife, and had to find a new job. Somehow he ended up doing FMRI, and then AFNI sprang into being. He didn't intend this to happen, but AFNI has taken over his career (in a good way, mostly), so here we are.",https://afni.nimh.nih.gov,@AFNIman,afni-rwcox
David Meunier,Dr,He/him,Research engineer,"Aix-Marseille University, Institut de Neurosciences de la Timone","After some post-docs in Cambridge UK, Orsay and Lyon where Dr David Meunier mostly worked on graph-theoritical tools for fMRI analysis, he turned to a more support related job, to help neuroscientist to formalize MRI data analysis. David is also working on the organisation and management of MRI data.",http://www.int.univ-amu.fr/spip.php?page=auteur&id_auteur=809&lang=en,,https://github.com/davidmeunier79
Linda Larson-Prior,Dr,she/her,Professor,University of Arkansas for Medical Sciences,"Professor Linda Larson-Prior is interested in better understanding the dynamic neural network reconfigurations that occur as the brain changes state, both under normal conditions such as sleep, and in pathological shifts in cognitive awareness. At present, one major research thrust is in Parkinson's disease, where hallmark features include motor, autonomic and cognitive domains. In that context, she is working with a multi-disciplinary team to acquire data unbiased by access to their tertiary care medical center and it is one thrust of that effort that she plans to discuss in this talk.",https://ndl.uams.edu,,
Nikita Beliy,Mr,,Post Doc,"University of Liege, Liege, Belgium","Nikita Beliy started as high energy physicist at CMS collaboration (CERN), after which he moved to data management of medical imaging data.",,,nbeliy
Marijn van Vliet,Dr,He/him,Post-Doc,Aalto University,Dr Marijn van Vliet is a neuroscientist studying language processing using MEG. His analysis pipelines make heavy use of MNE-Python and he has been a contributor to this project for 5 years.,https://users.aalto.fi/~vanvlm1,wmvanvliet,wmvanvliet
Ariel Rokem,Dr,He/him,Data scientist,The University of Washington,"Ariel Rokem is a data scientist at the University of Washington eScience Institute, and an affiliate of the Institute for Neuroengineering, and the Center for Computational Neuroscience, at the University of Washington. He received a Ph.D. in neuroscience from UC Berkeley (2010) and additional postdoctoral training in computational neuroimaging at Stanford (2011 – 2015). He leads a research program in neuroinformatics: the development of data science tools, techniques and methods, and their application to the analysis of neural data.",https://arokem.org,arokem,arokem
Simon Eickhoff,Dr.,He/Him,Professor,Forschungszentrum Jülich & Heinrich-Heine Universität Düsseldorf,"Simon Eickhoff is a full professor and chair of the Institute for Systems Neuroscience at the Heinrich-Heine University in Düsseldorf and the director of the Institute of Neuroscience and Medicine (INM-7, Brain and Behavior) at the Forschungszentrum Jülich. He is furthermore a visiting professor at the Chinese Academy of Science Institute of Automation. Workig at the interface between neuroanatomy, data-science and brain medicine, the he aims to obtain a more detailed characterization of the organization of the human brain and its inter-individual variability in order to better understand its changes in advanced age as well as neurological and psychiatric disorders. This goal is pursued by the development and application of novel analysis tools and approaches for large-scale, multi-modal analysis of brain structure, function and connectivity as well as by machine-learning for single subject prediction of cognitive and socio-affective traits and ultimately precision medicine.",https://www.fz-juelich.de/inm/inm-7/EN/Home/home_node.html+J2:L6,@inm7_isn,SBEickhoff
Stefan Appelhoff,,He/him,PhD Student / BIDS maintainer,"Center for Adaptive Rationality, Max Planck Institute for Human Development, Berlin, Germany","Stefan is currently pursuing his PhD on neural information processing in decisions from experience. Next to his PhD projects, he is actively involved in the development of the Brain Imaging Data Structure as a maintainer and long term contributor.",https://stefanappelhoff.com,stefanappelhoff,sappelhoff
Gustav Nilsonne,Dr,He/him,Researcher,"Karolinska Institutet, Stockholm, Sweden, and the Swedish National Data Service, Gothenburg, Sweden","I am a researcher in neuroscience and metascience, and also national coordinator of data specialists with the Swedish National Data Service.",https://nilsonne.net/about/,@GustavNilsonne,GNilsonne
Anders Eklund,Dr,,Associate professor,Linköping University,"Researcher in neuroimaging working with methods for image processing, statistics, machine learning. I like big datasets and big graphics cards.",https://liu.se/en/employee/andek67,,wanderine
Thomas Nichols,Prof,He/him,Professor,"University of Oxford, Big Data Institute","Dr. Nichols is the Professor of Neuroimaging Statistics at the Oxford Big Data Institute. He is a statistician with a solitary focus on modelling and inference methods for brain imaging research. He has a unique background, with both industrial and academic experience, and diverse training including computer science, cognitive neuroscience and statistics.",https://nisox.org,@ten_photos,nicholst
Franklin Feingold,Mr,He/him,Center Assistant Director,"Stanford Center for Reproducible Neuroscience, Stanford University, Stanford, CA",I am currently a Center Assistant Director for the Center of Reproducible Neuroscience in the Psychology department at Stanford University. I am primarily focused on managing the Brain Imaging Data Structure and OpenNeuro.,,@franklincrn1,franklin-feingold
Malvika Sharan,Dr,She/her,Community Manager,The Alan Turing Institute,"Malvika Sharan is the community manager of The Turing Way at The Alan Turing Institute. Malvika works with its diverse community of diverse members to develop resources and ways that can make data science accessible for a wider audience. Malvika has a PhD in Bioinformatics and she worked at European Molecular Biology Laboratory, Germany, that helped her solidify her values as an Open Researcher and community builder. She is a co-founder of the Open Life Science mentoring program, a fellow of the Software Sustainability Institute and a board member of Open Bioinformatics Foundation.",https://openlifesci.org/about#organizers,malvikasharan,malvikasharan
João Periquito,Mr,They/them,Researcher,"Max Delbrueck Center, Berlin, Germany","João is currently finishing his PhD at Berlin Ultrahigh Field Facility (B.U.F.F.), Berlin, Germany. His research is focused on development of new diagnosis techniques for renal MRI. Open source invaded his heart when he realized that he did not need to spend one year implementing an algorithm because someone kind went the extra mile and published a well-documented open-source tool that others can use to their purposes. João is also involved in the project: Open Source Imaging Initiative (OSI²), a creative community of volunteers with the aim of facilitating medical devices to more people all around the world.",https://www.opensourceimaging.org,@PeriJoao,JoaoPeriquito
Christopher Markiewicz,Dr.,He/him,Software Developer,"Stanford University, Stanford, CA, USA","I received my PhD in Cognitive and Neural Systems from Boston University in 2017, working on methods for analyzing speech fMRI. I have been a contributor to and maintainer of several Python projects in the neuroimaging in Python (Nipy) and BIDS ecosystems.",,effigies,effigies
Jonathan Passerat-Palmbach,Dr,,Research scientist,ConsenSys Health & Imperial College London,"Jonathan is a research scientist at ConsenSys Health and Imperial College London. His current research at ConsenSys Health focuses on privacy preserving machine learning and decentralisation. Jonathan is exploring the potential of bringing together techniques such as Federated Learning and Blockchains to build a new generation of healthcare systems. He is growing a strong expertise on Secure Computing (Trusted Execution Environments - TEEs, MPC, ...) and Verifiable Computing (TEEs, Zero-Knowledge Proofs, ...) with the goal to enhance machine learning deployments with these privacy preserving technologies.",https://jopasser.at,https://twitter.com/ConsenSysHealth,https://github.com/jopasserat/
Tonya White,Dr.,She/her,Associate Professor,"Erasmus University Medical Centre, Rotterdam, the Netherlands","Tonya White is a pediatrician, child and adolescent psychiatrist, and an electrical engineer who started and directs the neuroimaging program within the Generation R Study, which is a large population-based study of child development. Her primary focus is pediatric population-based neuroimaging.",https://www.researchgate.net/profile/Tonya_White2,tjhwhite,tjhwhite
Emma Bluemke,Ms,She/her,PhD Student,University of Oxford,"Medical Imaging PhD Student at the Institute of Biomedical Engineering, University of Oxford",,,emmabluemke
